Spell Damage Data Table
Source: FDAT.T Part 481, Subpart 3 (2b64-3b54.sizedMixPart)
Runtime Address: 0x8018D73A (as found in debugging)
Total Entries: 170
Entry Size: 24 bytes (12 x uint16)

======================================================================================================================================================
Index  Offset   Val0   Val1   Val2   Val3   Val4   Val5   Val6   Val7   Val8   Val9   Val10  Val11 
======================================================================================================================================================
0      0x0000  9216   30     0      0      0      41     0      0      0      0      0      0     
1      0x0018  20224  70     0      0      0      89     0      0      0      0      0      0     
2      0x0030  0      0      0      0      0      0      0      0      0      0      0      0     
3      0x0048  9216   39     0      0      0      0      9      0      0      0      0      0     
4      0x0060  17920  65     0      0      0      0      92     0      0      0      0      0     
5      0x0078  0      0      0      0      0      0      0      0      0      0      0      0     
6      0x0090  9728   42     0      0      0      0      0      46     0      0      0      0     
7      0x00A8  13312  86     0      0      0      0      0      43     0      0      0      0     
8      0x00C0  0      0      0      0      0      0      0      0      0      0      0      0     
9      0x00D8  9984   34     0      0      0      0      0      0      13     0      0      0     
10     0x00F0  17664  75     0      0      0      0      0      0      86     0      0      0     
11     0x0108  0      0      0      0      0      0      0      0      0      0      0      0     
12     0x0120  9728   28     0      0      0      0      0      0      0      23     0      0     
13     0x0138  19456  82     0      0      0      0      0      0      0      99     0      0     
14     0x0150  0      0      0      0      0      0      0      0      0      0      0      0     
15     0x0168  10240  46     0      0      0      0      0      0      0      0      52     0     
16     0x0180  18944  100    0      0      0      0      0      0      0      0      96     0     
17     0x0198  0      0      0      0      0      0      0      0      0      0      0      0     
18     0x01B0  0      0      10     0      0      0      0      0      0      0      0      0     
19     0x01C8  0      0      10     0      0      0      0      0      0      0      0      0     
20     0x01E0  0      0      10     0      0      0      0      0      0      0      0      0     
21     0x01F8  0      0      10     0      0      0      0      0      0      0      0      0     
22     0x0210  0      0      10     0      0      0      0      0      0      0      0      0     
23     0x0228  0      0      10     0      0      0      0      0      0      0      0      0     
24     0x0240  0      0      10     0      0      0      0      0      0      0      0      0     
25     0x0258  0      0      10     0      0      0      0      0      0      0      0      0     
26     0x0270  0      0      10     0      0      0      0      0      0      0      0      0     
27     0x0288  0      0      10     0      0      0      0      0      0      0      0      0     
