Randomization - Using given seed 1234567890
Swapping creatures 0a_skeleton (human_world_solitary_region) and 00_acid_skull (human_world_forgotten_region)
Swapping creatures 0c_gaze_hopper (water_world_watery_labyrinth_area) and 06_skeleton (human_world_solitary_region)
Swapping creatures 09_blood_slime (human_world_hidden_region) and 04_night_howler (monster_world_false_eye_area)
Swapping creatures 01_berzerker (fire_world_ashen_cavern) and 0c_barrel_snail (earth_world_rotting_cavern)
Swapping creatures 06_skeleton (water_world_watery_labyrinth_area) and 0c_old_face (death_world_lingering_curse_layer)
Swapping creatures 09_koazul (water_world_watery_labyrinth_area) and 01_horned_skull (fire_world_molten_cavern)
Swapping creatures 05_warden (monster_world_screeching_area) and 08_war_demon_1 (illusion_world_bewilderment_domain)
Swapping creatures 04_zygote (fire_world_ashen_cavern) and 05_earth_knight (earth_world_hostile_rock_cavern)
Swapping creatures 05_dwarfling (earth_world_rotting_cavern) and 05_cocoon_plant (earth_world_false_pit_cavern)
Swapping creatures 01_acid_slime (human_world_solitary_region) and 0d_bugler (death_world_lingering_curse_layer)
Swapping creatures 04_cannon_snail (earth_world_false_pit_cavern) and 0d_slasher (water_world_watery_labyrinth_area)
Swapping creatures 01_berzerker (earth_world_rotting_cavern) and 0c_barrel_snail (fire_world_ashen_cavern)
Swapping creatures 02_watcher_plant (earth_world_poisonous_cavern) and 04_king_hopper (monster_world_screeching_area)
Swapping creatures 08_dark_spider (human_world_solitary_region) and 06_mystic_tower (fire_world_molten_cavern)
Swapping creatures 00_dark_spirits (illusion_world_dream_domain) and 00_red_puppet (illusion_world_gloomy_domain)
Swapping creatures 05_water_knight (water_world_sunken_river_area) and 0a_old_face (death_world_lingering_curse_layer)
Swapping creatures 02_sand_leech_b (earth_world_quaking_cavern) and 01_berzerker (fire_world_ashen_cavern)
Swapping creatures 0c_maristella (illusion_world_gloomy_domain) and 08_hermit_crab (monster_world_false_eye_area)
Swapping creatures 05_water_knight (death_world_lingering_curse_layer) and 04_berzerker (fire_world_molten_cavern)
Swapping creatures 02_bone_wolf (death_world_gate_of_the_dead) and 08_clay_servant (earth_world_stone_cavern)
Swapping creatures 00_black_onyx (earth_world_hostile_rock_cavern) and 05_water_knight (fire_world_molten_cavern)
Swapping creatures 09_cocoon_plant (earth_world_quaking_cavern) and 05_warden (illusion_world_bewilderment_domain)
Swapping creatures 05_acid_pod (earth_world_quaking_cavern) and 00_kabasaur (water_world_watery_labyrinth_area)
Swapping creatures 05_armored_jinn (fire_world_phoenix_cave) and 04_acid_slime (human_world_hidden_region)
Swapping creatures 0a_bone_wolf (death_world_gate_of_the_dead) and 05_armored_jinn (human_world_hidden_region)
Swapping creatures 09_cross_breed (illusion_world_worship_domain) and 04_berzerker (fire_world_burning_cavern)
Swapping creatures 0a_armored_slayer (death_world_dark_castle_layer) and 06_warpoor (illusion_world_worship_domain)
Swapping creatures 04_kabasaur (water_world_sunken_river_area) and 00_black_onyx (fire_world_molten_cavern)
Swapping creatures 04_night_howler (human_world_hidden_region) and 01_blue_flicker (earth_world_quaking_cavern)
Swapping creatures 02_blood_slime (human_world_solitary_region) and 04_acid_slime (fire_world_phoenix_cave)
Swapping creatures 02_tongue_imp (human_world_cursed_region) and 05_dark_spirits (illusion_world_gloomy_domain)
Swapping creatures 05_hell_hunter (death_world_undead_layer) and 04_great_frog (water_world_watery_labyrinth_area)
Swapping creatures 0d_death_serpent (monster_world_screeching_area) and 0a_cocoon_plant (earth_world_quaking_cavern)
Swapping creatures 0d_hatchlin (water_world_impure_pool_area) and 05_horned_slime (water_world_impure_pool_area)
Swapping creatures 0a_warpoor (illusion_world_worship_domain) and 0a_barrel_snail (earth_world_stone_cavern)
Swapping creatures 0c_old_face (water_world_watery_labyrinth_area) and 05_blood_brain (water_world_watery_labyrinth_area)
Swapping creatures 06_tongue_imp (human_world_cursed_region) and 0a_ruby_demon (fire_world_ashen_cavern)
Swapping creatures 04_demon_warrior (illusion_world_bewilderment_domain) and 05_warden (earth_world_quaking_cavern)
Swapping creatures 0d_death_serpent (earth_world_quaking_cavern) and 0c_gaze_hopper (human_world_solitary_region)
Swapping creatures 0d_bugler (human_world_solitary_region) and 05_master_howler (monster_world_false_eye_area)
Swapping creatures 01_horned_slime (water_world_impure_pool_area) and 0c_maristella (monster_world_false_eye_area)
Swapping creatures 09_shadow_spider (human_world_cursed_region) and 05_dwarfling (earth_world_false_pit_cavern)
Swapping creatures 01_acid_pod (earth_world_false_pit_cavern) and 00_kabasaur (earth_world_quaking_cavern)
Swapping creatures 08_hermit_crab (illusion_world_gloomy_domain) and 02_watcher_plant (monster_world_screeching_area)
Swapping creatures 04_berzerker (death_world_lingering_curse_layer) and 06_tongue_imp (fire_world_ashen_cavern)
Swapping creatures 05_armored_jinn (death_world_gate_of_the_dead) and 06_warpoor (death_world_dark_castle_layer)
Swapping creatures 05_hell_hunter (water_world_watery_labyrinth_area) and 09_steel_servant (fire_world_molten_cavern)
Swapping creatures 02_bone_wolf (earth_world_stone_cavern) and 0d_cocoon_plant (earth_world_false_pit_cavern)
Swapping creatures 0e_watcher_plant (earth_world_poisonous_cavern) and 04_demon_warrior (earth_world_quaking_cavern)
Swapping creatures 06_hell_warrior (death_world_gate_of_the_dead) and 08_star_serpent (earth_world_rotting_cavern)
Swapping creatures 04_berzerker (fire_world_ashen_cavern) and 02_parasite (human_world_hidden_region)
Swapping creatures 05_horned_slime (water_world_impure_pool_area) and 0d_dweller (fire_world_burning_cavern)
Swapping creatures 01_stack_eyes (death_world_lingering_curse_layer) and 04_zygote (earth_world_hostile_rock_cavern)
Swapping creatures 02_bone_wolf (earth_world_false_pit_cavern) and 09_dementor (water_world_impure_pool_area)
Swapping creatures 04_zygote (death_world_lingering_curse_layer) and 09_cerberus (fire_world_ashen_cavern)
Swapping creatures 09_dwarf_warrior (earth_world_poisonous_cavern) and 0e_manna_python (water_world_watery_labyrinth_area)
Swapping creatures 08_wyvern (death_world_gate_of_the_dead) and 09_armored_warrior (death_world_dark_castle_layer)
Swapping creatures 0a_bone_wolf (human_world_hidden_region) and 08_wyvern (death_world_dark_castle_layer)
Swapping creatures 00_hell_hunter (death_world_dark_castle_layer) and 01_horned_skull (water_world_watery_labyrinth_area)
Swapping creatures 01_blood_skull (human_world_forgotten_region) and 05_master_howler (human_world_solitary_region)
Swapping creatures 01_myconid (earth_world_rotting_cavern) and 01_horned_skull (death_world_dark_castle_layer)
Swapping creatures 05_dwarfling (human_world_cursed_region) and 01_blue_flicker (human_world_hidden_region)
Swapping creatures 0d_damned_angel (fire_world_ashen_cavern) and 00_master_knight (illusion_world_worship_domain)
Swapping creatures 06_fire_jinn (fire_world_phoenix_cave) and 08_ring_demon (illusion_world_gloomy_domain)
Swapping creatures 0a_ruby_demon (human_world_cursed_region) and 0a_cursed_demon (monster_world_screeching_area)
Swapping creatures 01_blood_slime (human_world_hidden_region) and 00_night_howler (monster_world_false_eye_area)
Swapping creatures 0e_acid_slime (human_world_solitary_region) and 0e_watcher_plant (earth_world_quaking_cavern)
Swapping creatures 02_sand_leech_b (fire_world_ashen_cavern) and 05_horned_slime (fire_world_burning_cavern)
Swapping creatures 08_star_serpent (death_world_gate_of_the_dead) and 02_mystic_tower (fire_world_burning_cavern)
Swapping creatures 0a_old_face (water_world_sunken_river_area) and 05_blood_brain (water_world_watery_labyrinth_area)
Swapping creatures 09_freak (monster_world_false_eye_area) and 01_berzerker (earth_world_quaking_cavern)
Swapping creatures 0c_gaze_hopper (earth_world_quaking_cavern) and 09_sloth_bug (earth_world_false_pit_cavern)
Swapping creatures 01_stack_eyes (earth_world_hostile_rock_cavern) and 08_star_serpent (fire_world_burning_cavern)
Swapping creatures 09_sloth_bug (earth_world_quaking_cavern) and 0d_cocoon_plant (earth_world_stone_cavern)
Swapping creatures 09_koazul (fire_world_molten_cavern) and 0d_dweller (water_world_impure_pool_area)
Swapping creatures 05_water_knight (earth_world_hostile_rock_cavern) and 01_horned_skull (earth_world_rotting_cavern)
Swapping creatures 06_skeleton (death_world_lingering_curse_layer) and 09_cerberus (death_world_lingering_curse_layer)
Swapping creatures 06_armored_slayer (death_world_dark_castle_layer) and 08_dark_spider (fire_world_molten_cavern)
Swapping creatures 09_steel_servant (water_world_watery_labyrinth_area) and 09_cross_breed (fire_world_burning_cavern)
Swapping creatures 05_blood_slime (human_world_hidden_region) and 08_berzerker (fire_world_burning_cavern)
Swapping creatures 00_night_howler (human_world_hidden_region) and 05_horned_slime (fire_world_ashen_cavern)
Swapping creatures 08_clay_servant (death_world_gate_of_the_dead) and 08_star_serpent (earth_world_hostile_rock_cavern)
Swapping creatures 0a_armored_slayer (illusion_world_worship_domain) and 04_demon_warrior (earth_world_poisonous_cavern)
Swapping creatures 02_watcher_plant (illusion_world_gloomy_domain) and 04_cannon_snail (water_world_watery_labyrinth_area)
Swapping creatures 01_acid_pod (earth_world_quaking_cavern) and 04_king_hopper (earth_world_poisonous_cavern)
Swapping creatures 08_war_demon_1 (monster_world_screeching_area) and 04_dark_spirits (illusion_world_gloomy_domain)
Swapping creatures 05_dark_spirits (human_world_cursed_region) and 0c_barrel_snail (earth_world_rotting_cavern)
Swapping creatures 06_skeleton (death_world_lingering_curse_layer) and 02_watcher_plant (water_world_watery_labyrinth_area)
Swapping creatures 04_demon_warrior (illusion_world_worship_domain) and 01_stack_eyes (fire_world_burning_cavern)
Swapping creatures 01_earth_knight (earth_world_hostile_rock_cavern) and 0e_manna_python (earth_world_poisonous_cavern)
Swapping creatures 04_king_hopper (earth_world_quaking_cavern) and 0c_maristella (water_world_impure_pool_area)
Swapping creatures 0d_crying_root (earth_world_stone_cavern) and 08_berzerker (human_world_hidden_region)
Swapping creatures 04_berzerker (illusion_world_worship_domain) and 01_doriwi (death_world_gate_of_the_dead)
Swapping creatures 0d_hatchlin (water_world_impure_pool_area) and 0d_crying_root (human_world_hidden_region)
Swapping creatures 06_fire_jinn (illusion_world_gloomy_domain) and 02_karasu (death_world_dark_castle_layer)
Swapping creatures 01_beak_plant (earth_world_poisonous_cavern) and 08_dark_spider (human_world_cursed_region)
Swapping creatures 05_water_knight (earth_world_rotting_cavern) and 04_night_howler (earth_world_quaking_cavern)
Swapping creatures 0d_deha (illusion_world_gloomy_domain) and 05_armored_warrior (death_world_dark_castle_layer)
Swapping creatures 05_blood_slime (fire_world_burning_cavern) and 00_master_knight (fire_world_ashen_cavern)
Swapping creatures 05_dark_spirits (earth_world_rotting_cavern) and 08_casket (human_world_hidden_region)
Swapping creatures 06_tongue_imp (death_world_lingering_curse_layer) and 0d_cocoon_plant (earth_world_quaking_cavern)
Swapping creatures 02_bone_wolf (water_world_impure_pool_area) and 08_war_demon_1 (illusion_world_gloomy_domain)
Swapping creatures 09_dwarf_warrior (water_world_watery_labyrinth_area) and 06_tongue_imp (earth_world_quaking_cavern)
Swapping creatures 0d_arachness (fire_world_molten_cavern) and 05_blood_brain (water_world_sunken_river_area)
Swapping creatures 0a_horned_slime (water_world_watery_labyrinth_area) and 05_horned_slime (human_world_hidden_region)
Swapping creatures 05_blood_brain (fire_world_molten_cavern) and 00_master_knight (fire_world_burning_cavern)
Swapping creatures 02_watcher_plant (death_world_lingering_curse_layer) and 02_tongue_imp (illusion_world_gloomy_domain)
Swapping creatures 0a_warpoor (earth_world_stone_cavern) and 06_fire_jinn (death_world_dark_castle_layer)
Swapping creatures 01_acid_slime (death_world_lingering_curse_layer) and 05_dark_spirits (human_world_hidden_region)
Swapping creatures 06_elder (earth_world_rotting_cavern) and 05_cocoon_plant (earth_world_rotting_cavern)
Swapping creatures 0e_dinogon (monster_world_false_eye_area) and 01_myconid (death_world_dark_castle_layer)
Swapping creatures 04_zygote (fire_world_ashen_cavern) and 04_berzerker (death_world_gate_of_the_dead)
Swapping creatures 01_myconid (monster_world_false_eye_area) and 02_parasite (fire_world_ashen_cavern)
Swapping creatures 02_mystic_tower (death_world_gate_of_the_dead) and 0a_bone_wolf (death_world_dark_castle_layer)
Swapping creatures 00_dark_spider (human_world_cursed_region) and 00_night_howler (fire_world_ashen_cavern)
Swapping creatures 01_blood_slime (monster_world_false_eye_area) and 06_armored_slayer (fire_world_molten_cavern)
Swapping creatures 01_earth_knight (earth_world_poisonous_cavern) and 04_acid_slime (human_world_solitary_region)
Swapping creatures 06_fire_jinn (earth_world_stone_cavern) and 01_berzerker (monster_world_false_eye_area)
Swapping creatures 0a_cocoon_plant (monster_world_screeching_area) and 0a_armored_slayer (earth_world_poisonous_cavern)
Swapping creatures 05_acid_pod (water_world_watery_labyrinth_area) and 05_dark_spirits (death_world_lingering_curse_layer)
Swapping creatures 00_winged_worm (water_world_white_rain_area) and 04_minor_dwarf (earth_world_rotting_cavern)
Swapping creatures 00_black_onyx (water_world_sunken_river_area) and 01_blood_skull (human_world_solitary_region)
Swapping creatures 00_black_onyx (human_world_solitary_region) and 05_doriwi (death_world_gate_of_the_dead)
Swapping creatures 0c_ray_plant (earth_world_false_pit_cavern) and 0d_cocoon_plant (death_world_lingering_curse_layer)
Swapping creatures 02_tongue_imp (death_world_lingering_curse_layer) and 02_sand_leech_b (fire_world_burning_cavern)
Swapping creatures 00_dark_spider (fire_world_ashen_cavern) and 0a_warpoor (death_world_dark_castle_layer)
Swapping creatures 08_casket (earth_world_rotting_cavern) and 00_earth_knight (earth_world_false_pit_cavern)
Swapping creatures 04_cannon_snail (illusion_world_gloomy_domain) and 0a_warpoor (fire_world_ashen_cavern)
Swapping creatures 06_warpoor (death_world_gate_of_the_dead) and 0d_damned_angel (illusion_world_worship_domain)
