Creature Name,Power Score,HP,Area Score,Area,STR,SPD,DEF,BAL,SLA,SMH,PIR,SPR,FOC,HAM,PUR,PAR,MEL,SOL,Attack1,Attack2,Magic1,Physical Attacks (0x20),Magic Attacks (0x30)
00_abraxus,33317,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,40,45,6,"","48/91/91; 48/91/91"
0d_fat_mole_e,32819,65535,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"",""
02_fat_mole_d,32807,65535,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"",""
00_fat_mole_f,32804,65535,0,"water_world_impure_pool_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"",""
08_fat_mole_b,32789,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"",""
0c_fat_mole_c,32789,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"",""
04_fat_mole_a,32768,65535,2,"human_world_cursed_region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
01_unknown_b,4974,7560,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,17,"260/225/275; 310/240/275","62; 63"
01_auriel_c,4953,7560,0,"monster_world_screeching_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,11,"275/225/270; 275/225/270","80; 81"
0c_hollow_mage,4833,7800,0,"death_world_gate_of_the_dead",0,4,0,2,0,0,1,16,10,0,5,2,0,10,22,72,12,"","30; 32"
04_king_edward,4217,6500,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,75,18,"25/23/25; 20/20/10; 45/20/40","123"
04_wildowess,4102,6600,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,6,4,0,5,0,0,3,75,85,14,"103/75/170","121"
00_unused_a,3877,6000,0,"death_world_gate_of_the_dead",2,0,0,0,0,0,0,0,0,0,12,5,0,1,100,115,0,"",""
0c_ebony_knight,3826,4270,0,"fire_world_ashen_cavern",0,7,0,0,0,0,4,11,3,9,0,1,0,0,35,25,7,"153/126/115; 113/115/153; 150/95/64","52; 53"
0e_necron,3562,4800,0,"monster_world_screeching_area",12,5,0,0,3,2,8,2,2,0,1,0,3,3,43,45,11,"170/145/230; 50/60/200; 175/125/135","82/154; 82/140; 81/183"
08_armored_guardian,2853,4200,0,"death_world_dark_castle_layer",7,0,1,0,2,2,0,0,0,0,1,2,0,0,50,40,18,"190/230/140; 183/168/120",""
08_fester,2735,4650,0,"illusion_world_worship_domain",2,3,0,0,0,0,6,0,0,0,2,5,0,0,25,30,15,"","73"
05_magi_magus,2689,3730,0,"water_world_white_rain_area",0,0,0,0,0,0,0,10,1,6,0,0,12,9,75,85,10,"","59/149; 59"
00_panak,2666,5100,0,"death_world_lingering_curse_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"",""
01_gorthaur,2060,3450,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,10,7,1,0,0,0,15,18,14,"98/55/90","73"
01_disguise,1997,2700,0,"illusion_world_dream_domain",0,5,0,0,0,0,0,21,7,3,8,0,0,0,45,55,10,"","76; 75/12"
09_pulsating_heart,1671,2000,0,"death_world_undead_layer",6,2,0,0,6,0,1,6,0,0,6,4,4,4,0,0,0,"75/50/70","64/20/42"
04_dread_knight,1653,2400,0,"earth_world_hostile_rock_cavern",10,0,0,3,8,6,0,0,0,0,0,4,0,7,23,20,6,"95/73/56; 55/78/123","42"
04_auriel_b,813,1000,0,"earth_world_poisonous_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,5,"",""
08_guardian_b,708,870,0,"earth_world_false_pit_cavern",1,0,0,0,0,0,1,1,1,0,0,0,0,1,8,8,0,"46/35/74; 46/35/109","100/1"
02_dead_abraxus,414,1,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,40,45,6,"",""
0a_guardian_a,412,480,2,"human_world_cursed_region",1,0,0,0,0,0,1,1,1,0,0,0,0,1,8,8,0,"15/17/46","100/1"
0c_dybbuk,380,520,0,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,"","38"
00_duhrin,378,600,0,"earth_world_poisonous_cavern",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,"",""
00_dybbuk,369,520,0,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,"",""
04_dybbuk,369,520,0,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,"",""
02_lizard_servant,238,1,0,"monster_world_false_eye_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,15,"",""
06_lizard_servant,238,1,0,"monster_world_false_eye_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,15,"",""
01_acid_slime,124,95,0,"death_world_dark_castle_layer",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,"1/1/1","1"
