Shadow Tower walk
Tower Top -> Human World Solitary Region (Church)
Skeleton -> Human World Hidden Region (Jail)
Jail -> Human World Solitary Region (Skeleton)
Grave -> Human World Cursed Region (Entrance)
Guardian side -> Shadow Tower Part1 B (Edge)
Edge -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
human_world_cursed_region/4 -> Human World Cursed Region (Guardian side)
