Creature Name,Power Score,HP,Area Score,Area,STR,SPD,DEF,BAL,SLA,SMH,PIR,SPR,FOC,HAM,PUR,PAR,MEL,SOL,Attack1,Attack2,Magic1,Physical Attacks (0x20),Magic Attacks (0x30)
00_abraxus,33974,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,104,117,16,"","124/236/236; 124/236/236"
0a_demons_eye,33733,820,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,1,0,0,2,2,1,77,72,0,"","289/2"
0d_fat_mole_e,32897,65535,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,"",""
02_fat_mole_d,32870,65535,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"",""
00_fat_mole_f,32864,65535,0,"water_world_impure_pool_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"",""
08_fat_mole_b,32819,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"",""
0c_fat_mole_c,32819,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"",""
04_fat_mole_a,32768,65535,2,"human_world_cursed_region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
0d_hatchlin,15953,1460,0,"water_world_watery_labyrinth_area",0,0,1,0,0,0,0,0,0,0,10,0,0,0,26,26,0,"","99"
09_cerberus,8052,2300,0,"fire_world_burning_cavern",0,5,0,0,0,0,0,0,0,5,0,0,0,0,39,39,0,"","129/4; 77"
04_jinn_lord,7909,1920,0,"fire_world_phoenix_cave",0,0,0,0,0,3,0,1,2,1,0,3,0,0,39,39,0,"","112/26; 111"
01_unknown_b,6359,7560,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,143,45,"676/585/715; 806/624/715","162; 163"
01_auriel_c,6301,7560,0,"monster_world_screeching_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,143,28,"715/585/702; 715/585/702","208; 210"
0c_hollow_mage,5373,7800,0,"death_world_gate_of_the_dead",0,4,0,2,0,0,1,16,10,0,5,2,0,10,58,188,30,"","77; 84"
04_king_edward,5202,6500,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,195,46,"65/59/65; 52/52/26; 117/52/104","320"
04_wildowess,5164,6600,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,6,4,0,5,0,0,3,195,221,37,"267/195/442","315"
0e_necron,5002,4800,0,"monster_world_screeching_area",12,5,0,0,3,2,8,2,2,0,1,0,3,3,111,117,29,"442/377/598; 130/156/520; 455/325/351","214/401; 212/363; 211/475"
06_hell_warrior,4931,5800,0,"death_world_dark_castle_layer",0,4,0,1,5,0,0,0,0,2,0,3,0,2,255,255,0,"585/390/403",""
09_steel_servant,4887,1810,0,"fire_world_molten_cavern",0,0,0,0,0,5,0,0,0,0,0,0,1,0,34,37,0,"202/237/169; 234/273/232; 234/390/232","123/3"
00_unused_a,4762,6000,0,"death_world_gate_of_the_dead",2,0,0,0,0,0,0,0,0,0,12,5,0,1,255,255,0,"",""
0c_ebony_knight,4720,4270,0,"fire_world_ashen_cavern",0,7,0,0,0,0,4,11,3,9,0,1,0,0,91,65,19,"397/328/299; 293/299/397; 390/247/167","136; 137"
0a_ruby_demon,4701,2260,0,"fire_world_phoenix_cave",0,1,0,0,1,0,0,1,1,1,0,1,0,0,45,36,0,"245/193/156","285/72"
01_doriwi,4410,4800,0,"death_world_gate_of_the_dead",2,0,2,2,0,5,0,1,0,0,4,0,0,0,234,255,0,"390/416/585","77"
05_doriwi,4410,4800,0,"death_world_gate_of_the_dead",2,0,2,2,0,5,0,1,0,0,4,0,0,0,234,255,0,"390/416/585","77"
05_horned_skull,4277,1550,0,"fire_world_burning_cavern",0,2,0,0,0,0,2,0,0,0,0,1,0,1,34,34,0,"156/179/329","115/32"
01_horned_skull,4277,1550,0,"fire_world_molten_cavern",0,2,0,0,0,0,2,0,0,0,0,1,0,1,34,34,0,"156/179/329","115/32"
00_bone_demon,4257,1480,0,"fire_world_ashen_cavern",0,0,0,0,0,1,0,1,0,0,0,1,0,3,26,29,0,"182/260/143","129/130/132"
0a_bone_wolf,4140,4100,0,"death_world_lingering_curse_layer",2,0,1,3,0,0,0,0,0,4,1,0,0,2,255,255,0,"325/546/325","77"
02_bone_wolf,4140,4100,0,"death_world_undead_layer",2,0,1,3,0,0,0,0,0,4,1,0,0,2,255,255,0,"325/546/325","77"
