Creature Name,Power Score,HP,Area Score,Area,STR,SPD,DEF,BAL,SLA,SMH,PIR,SPR,FOC,HAM,PUR,PAR,MEL,SOL,Attack1,Attack2,Magic1,Physical Attacks (0x20),Magic Attacks (0x30)
00_abraxus,33726,65535,11,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,80,90,12,"","95/181/181; 95/181/181"
0a_demons_eye,33608,820,12,"illusion_world_gloomy_domain",0,0,0,0,0,0,0,0,1,0,0,2,2,1,59,55,0,"","222/1"
0d_fat_mole_e,32867,65535,13,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"",""
02_fat_mole_d,32846,65535,14,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"",""
00_fat_mole_f,32840,65535,10,"water_world_impure_pool_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"",""
08_fat_mole_b,32807,65535,11,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"",""
0c_fat_mole_c,32807,65535,11,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"",""
04_fat_mole_a,32768,65535,2,"human_world_cursed_region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
0d_hatchlin,15910,1460,6,"earth_world_quaking_cavern",0,0,1,0,0,0,0,0,0,0,10,0,0,0,20,20,0,"","76"
09_cerberus,7984,2300,13,"water_world_white_rain_area",0,5,0,0,0,0,0,0,0,5,0,0,0,0,30,30,0,"","99/3; 59"
04_jinn_lord,7837,1920,9,"fire_world_phoenix_cave",0,0,0,0,0,3,0,1,2,1,0,3,0,0,30,30,0,"","86/20; 85"
01_unknown_b,5838,7560,13,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,34,"520/450/550; 620/480/550","124; 125"
01_auriel_c,5793,7560,11,"monster_world_screeching_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,21,"550/450/540; 550/450/540","160; 161"
0c_hollow_mage,5167,7800,13,"death_world_gate_of_the_dead",0,4,0,2,0,0,1,16,10,0,5,2,0,10,44,144,23,"","59; 64"
04_king_edward,4829,6500,13,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,150,35,"50/45/50; 40/40/20; 90/40/80","246"
04_wildowess,4765,6600,14,"illusion_world_worship_domain",0,0,0,0,0,0,0,6,4,0,5,0,0,3,150,170,28,"205/150/340","242"
09_steel_servant,4674,1810,11,"monster_world_screeching_area",0,0,0,0,0,5,0,0,0,0,0,0,1,0,26,28,0,"155/182/130; 180/210/178; 180/300/178","94/2"
06_hell_warrior,4596,5800,10,"fire_world_burning_cavern",0,4,0,1,5,0,0,0,0,2,0,3,0,2,230,200,0,"450/300/310",""
0a_ruby_demon,4575,2260,13,"death_world_lingering_curse_layer",0,1,0,0,1,0,0,1,1,1,0,1,0,0,34,27,0,"188/148/120","219/55"
