Creature Name,Power Score,HP,Area Score,Area,STR,SPD,DEF,BAL,SLA,SMH,PIR,SPR,FOC,HAM,PUR,PAR,MEL,SOL,Attack1,Attack2,Magic1,Physical Attacks (0x20),Magic Attacks (0x30)
00_abraxus,33726,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,80,90,12,"","95/181/181; 95/181/181"
0d_fat_mole_e,32867,65535,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"",""
02_fat_mole_d,32846,65535,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"",""
00_fat_mole_f,32840,65535,7,"water_world_impure_pool_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"",""
08_fat_mole_b,32807,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"",""
0c_fat_mole_c,32807,65535,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"",""
04_fat_mole_a,32768,65535,5,"human_world_cursed_region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
01_unknown_b,5838,7560,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,34,"520/450/550; 620/480/550","124; 125"
01_auriel_c,5793,7560,0,"monster_world_screeching_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,21,"550/450/540; 550/450/540","160; 161"
0c_hollow_mage,5167,7800,0,"death_world_gate_of_the_dead",0,4,0,2,0,0,1,16,10,0,5,2,0,10,44,144,23,"","59; 64"
04_king_edward,4829,6500,0,"death_world_undead_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,150,35,"50/45/50; 40/40/20; 90/40/80","246"
04_wildowess,4765,6600,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,6,4,0,5,0,0,3,150,170,28,"205/150/340","242"
00_unused_a,4522,6000,0,"death_world_gate_of_the_dead",2,0,0,0,0,0,0,0,0,0,12,5,0,1,200,230,0,"",""
0e_necron,4459,4800,0,"monster_world_screeching_area",12,5,0,0,3,2,8,2,2,0,1,0,3,3,85,90,22,"340/290/460; 100/120/400; 350/250/270","164/308; 163/279; 162/365"
0c_ebony_knight,4383,4270,0,"fire_world_ashen_cavern",0,7,0,0,0,0,4,11,3,9,0,1,0,0,70,50,14,"305/252/230; 225/230/305; 300/190/128","104; 105"
08_armored_guardian,3486,4200,0,"death_world_dark_castle_layer",7,0,1,0,2,2,0,0,0,0,1,2,0,0,100,80,36,"380/460/280; 365/335/240",""
05_magi_magus,3276,3730,10,"water_world_white_rain_area",0,0,0,0,0,0,0,10,1,6,0,0,12,9,150,170,19,"","117/298; 118"
08_fester,2964,4650,0,"illusion_world_worship_domain",2,3,0,0,0,0,6,0,0,0,2,5,0,0,50,60,29,"","145"
00_panak,2714,5100,0,"death_world_lingering_curse_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"",""
01_disguise,2375,2700,0,"illusion_world_dream_domain",0,5,0,0,0,0,0,21,7,3,8,0,0,0,90,110,20,"","151; 150/23"
01_gorthaur,2292,3450,0,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,10,7,1,0,0,0,30,36,27,"195/110/180","146"
04_dread_knight,1949,2400,0,"earth_world_hostile_rock_cavern",10,0,0,3,8,6,0,0,0,0,0,4,0,7,45,40,11,"190/145/112; 110/155/245","84"
09_pulsating_heart,1767,2000,0,"death_world_undead_layer",6,2,0,0,6,0,1,6,0,0,6,4,4,4,0,0,0,"150/100/140","127/40/84"
04_auriel_b,1041,1000,0,"earth_world_poisonous_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,9,"",""
08_guardian_b,886,870,5,"earth_world_false_pit_cavern",1,0,0,0,0,0,1,1,1,0,0,0,0,1,15,16,0,"92/70/148; 92/70/218","200/1"
02_dead_abraxus,687,1,0,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,80,90,12,"",""
0a_guardian_a,510,480,5,"human_world_cursed_region",1,0,0,0,0,0,1,1,1,0,0,0,0,1,15,16,0,"30/33/91","200/1"
0c_dybbuk,445,520,0,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,"","75"
00_dybbuk,423,520,0,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,"",""
04_dybbuk,423,520,0,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,"",""
00_duhrin,390,600,0,"earth_world_poisonous_cavern",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,"",""
02_lizard_servant,355,1,0,"monster_world_false_eye_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,30,"",""
06_lizard_servant,355,1,0,"monster_world_false_eye_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,30,"",""
01_acid_slime,154,95,0,"death_world_dark_castle_layer",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,"10/11/13","49"
