Shadow Tower walk
Tower Top -> Human World Solitary Region (Church)
Skeleton -> Human World Hidden Region (Jail)
Jail -> Human World Solitary Region (Skeleton)
Grave -> Human World Cursed Region (Entrance)
Guardian side -> Shadow Tower Part1 B (Edge)
Edge -> Human World Cursed Region (Guardian side)
Guardian side -> Shadow Tower Part1 B (Edge)
Middle -> Human World Forgotten Region (Exit)
Exit -> Shadow Tower Part1 B (Middle)
Jump -> Shadow Tower Part1 C
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
Entrance -> Shadow Tower Part1 C (Bottom Middle)
Bottom Middle -> Earth World Rotting Cavern (Entrance)
