Shadow Tower walk
Tower Top -> Death World Dark Castle Layer (Prison)
Prison -> Shadow Tower Part1 A (Tower Top)
Tower Top -> Death World Dark Castle Layer (Prison)
Entrance -> Shadow Tower Part1 C (Edge)
Edge -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
death_world_dark_castle_layer/9 -> Death World Dark Castle Layer (Entrance)
