Index	Spell Index (Hex)	Data
48	30	30  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 ea fe a8 ff  0  0
49	31	31  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
50	32	32  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
51	33	33  0 96  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0 f8  0  0
52	34	34  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
54	36	36  0 ff ff ff ff ff ff ff ff ff ff ff ff b8 ff 73 fe b5 ff  0  0
55	37	37  0 ff ff ff ff ff ff ff ff ff ff ff ff cc ff 5f fe 4e fe  0  0
56	38	38  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 c0 f9 df fd  0  0
57	39	39  0  2  0  4  0  7  0 ff ff ff ff ff ff  0  0  0  0  0  0  0  0
58	3a	3a  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 c0 f9  0 ff  0  0
59	3b	3b  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
60	3c	3c  0  4  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
62	3e	3e  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 2e fc 4c fb  0  0
64	40	40  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
65	41	41  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
67	43	43  0 3b  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
68	44	44  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
69	45	45  0 10  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
71	47	47  0 ad  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
74	4a	4a  0 13  1 3e  1 ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
75	4b	4b  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
76	4c	4c  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
77	4d	4d  0 48  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
78	4e	4e  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
79	4f	4f  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0 fb 44 fd  0  0
80	50	50  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
81	51	51  0  2  0  4  0  7  0 ff ff ff ff ff ff  0  0  0  0  0  0  0  0
84	54	54  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
85	55	55  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
86	56	56  0 14  0 ff ff ff ff  b  0 ff ff ff ff  0  0  0  0  0  0  0  0
87	57	57  0  7  0 ff ff ff ff  b  0 ff ff ff ff  0  0  0  0  0  0  0  0
88	58	58  0 1b  0 ff ff ff ff  8  0 ff ff ff ff  0  0  0  0  0  0  0  0
89	59	59  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
91	5b	5b  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
92	5c	5c  0 73  0 74  0 ff ff  a  0  a  0 ff ff  0  0  0  0  0  0  0  0
93	5d	5d  0  0  0 ff ff ff ff  7  0 ff ff ff ff  0  0  0  0  0  0  0  0
94	5e	5e  0  2  0 ff ff ff ff  5  0 ff ff ff ff  0  0  0  0  0  0  0  0
95	5f	5f  0 b5  0 b5  0 b5  0 ff ff ff ff ff ff  0  0  0  0  0  0  0  0
96	60	60  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 d8 fd d4 fb  0  0
99	63	63  0 64  0 65  0 66  0  5  0  5  0  5  0  0  0  0  0  0  0  0  0
101	65	65  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
102	66	66  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 50 fb 70 fe  0  0
104	68	68  0 ff ff ff ff ff ff ff ff ff ff ff ff d8 ff de fa d5 fd  0  0
105	69	69  0 ff ff ff ff ff ff ff ff ff ff ff ff  0  0 ec fa  0  0  0  0
106	6a	6a  0 66  0 ff ff ff ff ff ff ff ff ff ff  0  0 96  0  0  0  0  0
107	6b	6b  0 21  0 ff ff ff ff ff ff ff ff ff ff  0  0 96  0  0  0  0  0
108	6c	6c  0 7e  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
110	6e	6e  0 ff ff ff ff ff ff ff ff ff ff ff ff 11  0 8c fc ba ff  0  0
111	6f	6f  0 23  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
112	70	70  0  3  0 ff ff ff ff ff ff ff ff ff ff  0  0  0  0  0  0  0  0
